0	Coast	2	4
1	Savings	1	4
2	Financial	1	4
3	Inc.	0	0
4	reported	4	4
5	a	4	4
6	third-quarter	3	4
7	loss	4	4
8	,	4	4
9	citing	4	4
10	a	4	4
11	previously	4	4
12	announced	4	4
13	capital	4	4
14	restructuring	4	4
15	program	4	4
16	.	4	4
17	The	4	4
18	Los	2	4
19	Angeles	0	4
20	thrift	4	4
21	holding	4	4
22	company	3	4
23	said	4	4
24	it	4	4
25	had	4	4
26	a	4	4
27	loss	4	4
28	of	4	4
29	$	2	4
30	92.2	1	0
31	million	0	4
32	,	4	4
33	or	4	4
34	$	2	4
35	6.98	0	0
36	a	4	4
37	share	4	4
38	,	4	4
39	for	4	4
40	the	2	4
41	quarter	1	4
42	ended	1	4
43	Sept.	1	0
44	30	0	4
45	.	4	4
46	Coast	3	4
47	earned	4	4
48	$	2	4
49	10.2	1	0
50	million	0	4
51	,	4	4
52	or	4	4
53	67	2	4
54	cents	0	4
55	a	4	4
56	share	4	4
57	,	4	4
58	in	4	4
59	the	2	4
60	year-ago	1	4
61	quarter	0	4
62	.	4	4
63	The	4	4
64	year-ago	3	4
65	results	4	4
66	have	4	4
67	been	4	4
68	restated	4	4
69	to	4	4
70	comply	4	4
71	with	4	4
72	government	4	4
73	regulations	4	4
74	.	4	4
75	The	4	4
76	restructuring	4	4
77	program	4	4
78	is	4	4
79	designed	4	4
80	to	4	4
81	increase	4	4
82	the	4	4
83	company	3	4
84	's	4	4
85	tangible	4	4
86	capital	4	4
87	ratio	4	4
88	.	4	4
89	It	4	4
90	includes	4	4
91	removing	4	4
92	$	2	4
93	242	1	4
94	million	0	4
95	in	4	4
96	good	4	4
97	will	4	4
98	from	4	4
99	the	4	4
100	books	4	4
101	,	4	4
102	issuing	4	4
103	$	2	4
104	150	1	4
105	million	0	4
106	in	4	4
107	preferred	4	4
108	stock	4	4
109	and	4	4
110	commencing	4	4
111	an	4	4
112	exchange	4	4
113	offer	4	4
114	for	4	4
115	$	2	4
116	52	1	4
117	million	0	4
118	in	4	4
119	convertible	4	4
120	bonds	4	4
121	.	4	4
122	During	4	4
123	the	2	4
124	third	1	4
125	quarter	0	4
126	,	4	4
127	the	4	4
128	company	3	4
129	charged	4	4
130	about	2	4
131	$	1	4
132	46	1	4
133	million	0	4
134	against	4	4
135	earnings	4	4
136	in	4	4
137	reducing	4	4
138	goodwill	4	4
139	,	4	4
140	added	4	4
141	$	2	4
142	20	1	4
143	million	0	4
144	to	4	4
145	its	4	4
146	general	4	4
147	loan	4	4
148	loss	4	4
149	reserves	4	4
150	and	4	4
151	established	4	4
152	a	4	4
153	$	2	4
154	30	1	4
155	million	0	4
156	reserve	4	4
157	for	4	4
158	its	4	4
159	high-yield	4	4
160	bond	4	4
161	portfolio	4	4
162	.	4	4
163	The	4	4
164	company	3	4
165	said	4	4
166	its	4	4
167	junk-bond	4	4
168	portfolio	4	4
169	after	4	4
170	these	4	4
171	moves	4	4
172	had	4	4
173	been	4	4
174	reduced	4	4
175	to	4	4
176	less	4	4
177	than	4	4
178	1	2	4
179	%	0	4
180	of	4	4
181	assets	4	4
182	.	4	4
183	Philip	2	4
184	Morris	1	4
185	Cos.	0	0
186	is	4	4
187	launching	4	4
188	a	4	4
189	massive	4	4
190	corporate	4	4
191	advertising	4	4
192	campaign	4	4
193	that	4	4
194	will	4	4
195	put	4	4
196	the	4	4
197	tobacco	4	4
198	giant	3	4
199	's	4	4
200	name	4	4
201	in	4	4
202	TV	4	4
203	commercials	4	4
204	for	4	4
205	the	4	4
206	first	3	4
207	time	4	4
208	since	4	4
209	the	2	4
210	early	1	4
211	1950s	0	0
212	,	4	4
213	when	4	4
214	it	4	4
215	stopped	4	4
216	advertising	4	4
217	its	4	4
218	namesake	4	4
219	cigarette	4	4
220	brand	4	4
221	on	4	4
222	television	4	4
223	.	4	4
224	The	4	4
225	campaign	4	4
226	,	4	4
227	a	4	4
228	patriotic	4	4
229	celebration	4	4
230	of	4	4
231	the	4	4
232	200th	3	0
233	anniversary	4	4
234	of	4	4
235	the	4	4
236	Bill	2	4
237	of	1	4
238	Rights	0	4
239	,	4	4
240	does	4	4
241	n't	4	4
242	mention	4	4
243	cigarettes	4	4
244	or	4	4
245	smoking	4	4
246	;	4	4
247	cigarette	4	4
248	ads	4	4
249	have	4	4
250	been	4	4
